"year","cgHeadId","cgPlaId","startDateEarly","startDateLate","endDateEarly","endDateLate","note"
2011,2011001014,850,"2011-07-14","2011-07-18","2011-07-26","2011-07-30",
2011,2011001015,817,"2011-07-19","2011-07-19","2011-07-26","2011-07-30",
2011,2011001016,5372,"2011-07-14","2011-07-18","2011-07-20","2011-07-24",
2011,2011001017,5372,"2011-07-14","2011-07-18","2011-07-26","2011-07-30",
2011,2011001018,5379,"2011-07-14","2011-07-18","2011-07-20","2011-07-24",
2011,2011001020,5405,"2011-07-13","2011-07-13","2011-07-20","2011-07-24",
2011,2011001019,5405,"2011-07-18","2011-07-18","2011-07-26","2011-07-30",
2011,2011001021,5406,"2011-07-14","2011-07-18","2011-07-26","2011-07-30",
2011,2011001022,5407,"2011-07-19","2011-07-19","2011-07-26","2011-07-30",
2011,2011001023,5408,"2011-07-14","2011-07-18","2011-07-26","2011-07-30",
2011,2011001024,5412,"2011-07-14","2011-07-18","2011-07-26","2011-07-30",
2011,2011001025,5413,"2011-07-20","2011-07-24","2011-07-31","2011-07-31",
2011,2011001026,5413,"2011-07-19","2011-07-19","2011-08-01","2011-08-04",
2011,2011001027,5413,"2011-07-20","2011-07-24","2011-08-01","2011-08-04",
2011,2011001029,5422,"2011-07-19","2011-07-19","2011-07-26","2011-07-30",
2011,2011001030,5423,"2011-07-14","2011-07-18","2011-07-20","2011-07-24",
2011,2011001034,5442,"2011-07-20","2011-07-24","2011-08-01","2011-08-04",
2011,2011001035,5464,"2011-07-18","2011-07-18","2011-07-26","2011-07-30",
2011,2011001036,5470,"2011-07-11","2011-07-11","2011-07-20","2011-07-24",
2011,2011001039,315,"2011-07-20","2011-07-24","2011-07-26","2011-07-30",
2011,2011001037,315,"2011-07-18","2011-07-18","2011-07-26","2011-07-30",
2011,2011001038,315,"2011-07-19","2011-07-19","2011-07-26","2011-07-30",
2011,2011001041,313,"2011-07-20","2011-07-24","2011-08-01","2011-08-04",
2011,2011001040,313,"2011-07-14","2011-07-18","2011-07-20","2011-07-24",
2011,2011001046,312,"2011-07-18","2011-07-18","2011-07-26","2011-07-30",
2011,2011001045,312,"2011-07-20","2011-07-24","2011-08-01","2011-08-04",
2011,2011001043,312,"2011-07-20","2011-07-24","2011-08-01","2011-08-04",
2011,2011001044,312,"2011-07-13","2011-07-13","2011-07-20","2011-07-24",
2011,2011001048,310,"2011-07-14","2011-07-18","2011-07-26","2011-07-30",
2011,2011001049,310,"2011-07-14","2011-07-18","2011-07-26","2011-07-30",
2011,2011001050,309,"2011-07-20","2011-07-24","2011-08-01","2011-08-04",
2011,2011001051,308,"2011-07-14","2011-07-18","2011-07-26","2011-07-30",
2011,2011001052,306,"2011-07-14","2011-07-18","2011-07-25","2011-07-25",
2011,2011001053,305,"2011-07-20","2011-07-24","2011-07-26","2011-07-30",
2011,2011001056,305,"2011-07-14","2011-07-18","2011-07-26","2011-07-30",
2011,2011001055,305,"2011-07-14","2011-07-18","2011-07-26","2011-07-30",
2011,2011001054,305,"2011-07-14","2011-07-18","2011-07-26","2011-07-30",
2011,2011001057,301,"2011-07-14","2011-07-18","2011-07-25","2011-07-25",
2011,2011001058,300,"2011-07-19","2011-07-19","2011-07-26","2011-07-30",
2011,2011001060,1187,"2011-07-14","2011-07-18","2011-07-20","2011-07-24",
2011,2011001059,1187,"2011-07-14","2011-07-18","2011-07-25","2011-07-25",
2011,2011001061,1187,"2011-07-20","2011-07-24","2011-07-25","2011-07-25",
2011,2011001064,792,"2011-07-18","2011-07-18","2011-07-26","2011-07-30",
2011,2011001063,792,"2011-07-20","2011-07-24","2011-08-01","2011-08-04",
2011,2011001062,792,"2011-07-20","2011-07-24","2011-07-31","2011-07-31",
2011,2011001065,844,"2011-07-20","2011-07-24","2011-08-01","2011-08-04",
2011,2011001066,861,"2011-07-19","2011-07-19","2011-07-26","2011-07-30",
2011,2011001067,861,"2011-07-19","2011-07-19","2011-07-26","2011-07-30",
2011,2011001069,815,"2011-07-14","2011-07-18","2011-07-26","2011-07-30",
2011,2011001070,815,"2011-07-14","2011-07-18","2011-07-26","2011-07-30",
2011,2011001068,815,"2011-07-18","2011-07-18","2011-07-26","2011-07-30",
2011,2011001071,815,"2011-07-18","2011-07-18","2011-07-26","2011-07-30",
