cgPlaId,cgHdId,startDtEarly,startDtLate,endDtEarly,endDtLate,phenYear,phenNote
2316,2013002132,"2013-07-21 00:00:00","2013-07-21 00:00:00","2013-08-14 00:00:00","2013-08-14 00:00:00",2013,
2320,2013002133,"2013-07-20 00:00:00","2013-07-20 00:00:00","2013-08-13 00:00:00","2013-08-13 00:00:00",2013,
2320,2013002134,"2013-07-24 00:00:00","2013-07-24 00:00:00","2013-08-12 00:00:00","2013-08-12 00:00:00",2013,
2320,2013002135,"2013-07-24 00:00:00","2013-07-24 00:00:00","2013-08-12 00:00:00","2013-08-12 00:00:00",2013,Stem bent
2321,2013002136,"2013-07-23 00:00:00","2013-07-23 00:00:00","2013-08-08 00:00:00","2013-08-08 00:00:00",2013,
2321,2013002137,"2013-07-22 00:00:00","2013-07-22 00:00:00","2013-08-09 00:00:00","2013-08-09 00:00:00",2013,
2322,2013002138,"2013-07-16 00:00:00","2013-07-16 00:00:00","2013-07-27 00:00:00","2013-07-27 00:00:00",2013,
2322,2013002139,"2013-07-18 00:00:00","2013-07-18 00:00:00","2013-07-31 00:00:00","2013-07-31 00:00:00",2013,
2322,2013002140,"2013-07-18 00:00:00","2013-07-18 00:00:00","2013-07-30 00:00:00","2013-07-30 00:00:00",2013,
2325,2013002141,"2013-07-15 00:00:00","2013-07-15 00:00:00","2013-07-28 00:00:00","2013-07-28 00:00:00",2013,
2329,2013002142,"2013-07-18 00:00:00","2013-07-18 00:00:00","2013-08-03 00:00:00","2013-08-03 00:00:00",2013,
2329,2013002143,"2013-07-20 00:00:00","2013-07-20 00:00:00","2013-08-03 00:00:00","2013-08-03 00:00:00",2013,
2329,2013002144,"2013-07-17 00:00:00","2013-07-17 00:00:00","2013-08-03 00:00:00","2013-08-03 00:00:00",2013,
2334,2013002145,"2013-07-22 00:00:00","2013-07-22 00:00:00","2013-08-04 00:00:00","2013-08-04 00:00:00",2013,
2347,2013002146,"2013-07-16 00:00:00","2013-07-16 00:00:00","2013-07-29 00:00:00","2013-07-29 00:00:00",2013,
2347,2013002147,"2013-07-23 00:00:00","2013-07-23 00:00:00","2013-08-05 00:00:00","2013-08-05 00:00:00",2013,Check 1st day prev recorded 7/26/13 9:39 am
2348,2013002148,"2013-07-22 00:00:00","2013-07-22 00:00:00","2013-08-10 00:00:00","2013-08-10 00:00:00",2013,
2348,2013002149,"2013-07-25 00:00:00","2013-07-25 00:00:00","2013-08-12 00:00:00","2013-08-12 00:00:00",2013,
2349,2013002150,"2013-07-22 00:00:00","2013-07-22 00:00:00","2013-08-11 00:00:00","2013-08-11 00:00:00",2013,
2350,2013002151,"2013-07-21 00:00:00","2013-07-21 00:00:00","2013-08-03 00:00:00","2013-08-03 00:00:00",2013,
2353,2013002157,"2013-07-25 00:00:00","2013-07-25 00:00:00","2013-08-07 00:00:00","2013-08-07 00:00:00",2013,
2353,2013002158,"2013-07-22 00:00:00","2013-07-22 00:00:00","2013-08-03 00:00:00","2013-08-03 00:00:00",2013,
2354,2013002159,"2013-07-29 00:00:00","2013-07-29 00:00:00","2013-08-15 00:00:00","2013-08-15 00:00:00",2013,
2355,2013002160,"2013-07-22 00:00:00","2013-07-22 00:00:00","2013-08-03 00:00:00","2013-08-03 00:00:00",2013,
2356,2013002161,"2013-07-26 00:00:00","2013-07-26 00:00:00","2013-08-12 00:00:00","2013-08-12 00:00:00",2013,
2363,2013002162,"2013-07-23 00:00:00","2013-07-23 00:00:00","2013-08-05 00:00:00","2013-08-05 00:00:00",2013,
2364,2013002163,"2013-07-16 00:00:00","2013-07-16 00:00:00","2013-07-28 00:00:00","2013-07-28 00:00:00",2013,1 anth; 0 imm;
2370,2013002164,"2013-07-20 00:00:00","2013-07-20 00:00:00","2013-08-06 00:00:00","2013-08-06 00:00:00",2013,
2370,2013002165,"2013-07-20 00:00:00","2013-07-20 00:00:00","2013-08-05 00:00:00","2013-08-05 00:00:00",2013,
2371,2013002166,"2013-07-18 00:00:00","2013-07-18 00:00:00","2013-08-01 00:00:00","2013-08-01 00:00:00",2013,
2373,2013002167,"2013-07-23 00:00:00","2013-07-23 00:00:00","2013-08-11 00:00:00","2013-08-11 00:00:00",2013,
2394,2013002168,"2013-07-20 00:00:00","2013-07-20 00:00:00","2013-08-03 00:00:00","2013-08-03 00:00:00",2013,
2395,2013002169,"2013-07-21 00:00:00","2013-07-21 00:00:00","2013-08-07 00:00:00","2013-08-07 00:00:00",2013,
2395,2013002170,"2013-07-20 00:00:00","2013-07-20 00:00:00","2013-08-07 00:00:00","2013-08-07 00:00:00",2013,
2397,2013002171,"2013-07-19 00:00:00","2013-07-19 00:00:00","2013-08-03 00:00:00","2013-08-03 00:00:00",2013,
2397,2013002172,"2013-07-19 00:00:00","2013-07-19 00:00:00","2013-08-03 00:00:00","2013-08-03 00:00:00",2013,
2404,2013002173,"2013-07-20 00:00:00","2013-07-20 00:00:00","2013-08-01 00:00:00","2013-08-01 00:00:00",2013,
2404,2013002174,"2013-07-18 00:00:00","2013-07-18 00:00:00","2013-07-30 00:00:00","2013-07-30 00:00:00",2013,
2420,2013002175,"2013-07-19 00:00:00","2013-07-19 00:00:00","2013-08-03 00:00:00","2013-08-03 00:00:00",2013,
2426,2013002215,"2013-07-18 00:00:00","2013-07-18 00:00:00","2013-07-31 00:00:00","2013-07-31 00:00:00",2013,
2426,2013002216,"2013-07-17 00:00:00","2013-07-17 00:00:00","2013-07-27 00:00:00","2013-07-27 00:00:00",2013,
2426,2013002217,"2013-07-27 00:00:00","2013-07-27 00:00:00","2013-08-07 00:00:00","2013-08-07 00:00:00",2013,
2432,2013002218,"2013-07-20 00:00:00","2013-07-20 00:00:00","2013-08-03 00:00:00","2013-08-03 00:00:00",2013,
2432,2013002219,"2013-07-15 00:00:00","2013-07-15 00:00:00","2013-07-25 00:00:00","2013-07-25 00:00:00",2013,
2434,2013002220,"2013-07-22 00:00:00","2013-07-22 00:00:00","2013-08-05 00:00:00","2013-08-05 00:00:00",2013,
