"cgPlaId","row","pos","yrPlanted","ld1996","ld1997","ld1998","ld1999","fl1999","hdCt1999","achCt1999","ld2000","fl2000","hdCt2000","achCt2000","ld2001","fl2001","hdCt2001","ld2002","fl2002","hdCt2002","achCt2002","ld2003","fl2003","hdCt2003","achCt2003","ld2004","fl2004","hdCt2004","achCt2004","ld2005","fl2005","hdCt2005","achCt2005","ld2006","fl2006","hdCt2006","achCt2006","ld2007","fl2007","hdCt2007","achCt2007","ld2008","fl2008","hdCt2008","achCt2008","ld2009","fl2009","hdCt2009","achCt2009","ld2010","fl2010","hdCt2010","achCt2010","ld2011","fl2011","hdCt2011","achCt2011","ld2012","fl2012","hdCt2012","achCt2012","ld2013","fl2013","hdCt2013","achCt2013","ld2014","fl2014","hdCt2014","ld2015","fl2015","hdCt2015","ld2016","fl2016","hdCt2016","ld2017","fl2017","hdCt2017","ld2018","fl2018","hdCt2018"
"35","23.00","949.00","1996","1","1","1","1","0","0","0","1","1","2","290","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"36","23.00","948.00","1996","1","1","1","1","0","0","0","1","0","0","0","1","0","0","1","1","2","542","1","1","1","205","1","1","6","955","1","1","0","0","1","0","0","0","1","1","7","1098","1","0","0","0","1","1","2","346","1","0","0","0","1","1","9","822","1","1","0","0","1","0","0","0","1","0","0","1","1","1","1","0","0","1","0","0","1","0","0"
"37","23.00","947.00","1996","1","1","1","1","0","0","0","1","1","1","208","1","0","0","1","1","3","559","1","0","0","0","1","1","7","1379","1","0","0","0","1","1","4","625","1","1","1","175","1","1","6","1382","1","1","4","901","1","0","0","0","1","1","5","804","1","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"38","23.00","946.00","1996","1","1","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","1","2","315","1","0","0","0","1","0","0","0","1","1","4","249","1","0","0","0","1","1","1","158","1","1","0","1","1","1","1","0","0","1","0","0","1","1","1"
"39","23.00","945.00","1996","1","1","1","1","0","0","0","1","0","0","0","1","0","0","1","1","1","113","1","0","0","0","1","0","0","0","1","0","0","0","1","1","1","139","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","0","0"
"40","23.00","944.00","1996","1","1","1","1","0","0","0","1","1","1","196","1","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","1","1","152","1","1","2","305","1","1","1","139","1","1","2","303","1","1","1","108","1","0","0","0","1","1","1","48","1","0","0","0","1","1","2","1","1","0","1","0","0","1","0","0","1","0","0"
"41","23.00","943.00","1996","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"42","23.00","942.00","1996","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"43","23.00","941.00","1996","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"44","23.00","940.00","1996","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"45","23.00","939.00","1996","1","1","1","1","0","0","0","1","0","0","0","1","0","0","1","1","1","36","1","0","0","0","1","0","0","0","1","0","0","0","1","1","4","545","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"46","23.00","938.00","1996","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"47","23.00","937.00","1996","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"48","23.00","936.00","1996","1","1","1","1","0","0","0","1","0","0","0","1","0","0","1","1","1","24","1","0","0","0","1","1","2","459","1","0","0","0","1","1","3","345","1","1","2","284","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"49","24.00","959.00","1996","1","1","1","1","0","0","0","1","0","0","0","1","0","0","1","1","1","199","1","0","0","0","1","1","4","888","1","1","2","230","1","1","1","254","1","1","1","143","1","0","0","0","1","1","1","194","1","0","0","0","1","1","2","441","1","1","0","0","1","0","0","0","1","1","1","1","1","2","1","0","0","1","0","0","1","0","0"
"50","24.00","958.00","1996","1","1","1","1","0","0","0","1","0","0","0","1","0","0","1","0","0","0","1","1","1","233","1","1","4","861","1","1","1","229","1","1","2","277","1","1","0","0","1","0","0","0","1","0","0","0","1","1","2","325","1","1","2","313","1","1","1","47","1","0","0","0","1","0","0","1","1","2","1","0","0","1","0","0","1","0","0"
"51","24.00","957.00","1996","1","1","1","1","0","0","0","1","0","0","0","1","0","0","1","0","0","0","1","0","0","0","1","1","1","116","1","0","0","0","1","1","1","136","1","1","3","443","1","0","0","0","1","1","1","213","1","1","1","196","1","1","3","374","1","0","0","0","1","1","3","375","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"52","24.00","956.00","1996","1","1","1","1","0","0","0","1","1","1","196","1","0","0","1","1","2","378","1","0","0","0","1","1","2","439","1","0","0","0","1","1","5","748","1","0","0","0","1","1","3","813","1","1","2","265","1","1","1","196","1","1","5","548","1","1","0","0","1","1","2","290","1","0","0","1","1","1","1","0","0","1","0","0","1","1","1"
"53","24.00","955.00","1996","1","1","1","1","0","0","0","1","0","0","0","1","0","0","1","1","1","253","1","0","0","0","1","1","3","697","1","1","3","770","1","1","4","1039","1","0","0","0","1","1","7","1676","1","1","4","851","1","1","3","690","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","1","1","1","1","0","0","1","0","0","1","0","0"
"54","24.00","954.00","1996","1","1","1","1","0","0","0","1","0","0","0","1","1","2","1","1","2","210","1","0","0","0","1","1","3","500","1","1","1","177","1","1","3","451","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"55","24.00","953.00","1996","1","1","1","1","0","0","0","1","0","0","0","1","0","0","1","0","0","0","1","1","2","377","1","0","0","0","1","1","1","203","1","0","0","0","1","1","1","179","1","1","1","149","1","0","0","0","1","0","0","0","1","1","4","481","1","0","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0","1","0","0","1","1","0"
"56","24.00","952.00","1996","1","1","1","1","0","0","0","1","0","0","0","1","0","0","1","1","2","440","1","1","1","12","1","1","1","132","1","0","0","0","1","1","1","188","1","1","3","638","1","1","2","433","1","1","2","420","1","0","0","0","1","1","1","81","1","0","0","0","1","0","0","0","1","1","0","1","0","0","1","0","0","1","0","0","1","1","2"
"57","24.00","951.00","1996","1","1","1","1","0","0","0","1","1","1","275","1","0","0","1","1","4","798","1","1","2","336","1","0","0","0","1","0","0","0","1","1","3","425","1","1","3","452","1","1","2","277","1","1","9","1262","1","1","1","16","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0","1","0","0","0","0","0"
"58","24.00","950.00","1996","1","1","1","1","0","0","0","1","0","0","0","1","1","1","1","1","2","235","1","1","1","234","1","1","1","174","1","1","2","361","1","1","5","728","1","1","1","223","1","1","1","96","1","1","2","370","1","1","1","235","1","1","0","0","1","0","0","0","1","0","0","0","1","0","0","1","0","0","1","0","0","1","1","1","1","1","1"
"59","24.00","949.00","1996","1","1","1","1","0","0","0","1","0","0","0","1","1","2","1","1","4","910","1","1","1","250","1","1","0","0","1","1","0","0","1","0","0","0","1","1","2","417","1","1","2","425","1","1","3","344","1","0","0","0","1","1","1","81","1","1","0","0","1","1","3","545","1","1","2","1","1","1","1","0","0","1","0","0","1","0","0"
"60","24.00","948.00","1996","1","1","1","1","1","1","183","1","1","1","182","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"61","24.00","947.00","1996","1","1","1","1","0","0","0","1","1","1","251","1","0","0","1","1","1","207","1","0","0","0","1","1","1","253","1","0","0","0","1","1","2","342","1","0","0","0","1","1","2","372","1","0","0","0","1","0","0","0","1","1","1","113","1","0","0","0","1","0","0","0","1","0","0","1","1","1","0","0","0","0","0","0","0","0","0"
"62","24.00","946.00","1996","1","1","1","1","0","0","0","1","1","1","70","1","0","0","1","1","1","160","1","0","0","0","1","1","1","141","1","1","2","355","1","1","1","56","1","1","4","488","1","1","6","772","1","1","4","327","1","1","3","416","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"63","24.00","945.00","1996","1","1","1","1","0","0","0","1","0","0","0","1","1","1","1","0","0","0","1","0","0","0","1","1","1","202","1","1","1","204","1","1","1","188","1","1","1","154","1","1","1","147","1","1","2","228","1","0","0","0","1","1","3","282","1","0","0","0","1","1","1","162","1","0","0","1","0","0","1","0","0","1","0","0","1","1","1"
"64","24.00","944.00","1996","1","1","1","1","0","0","0","1","1","2","570","1","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","1","3","812","1","0","0","0","1","0","0","0","1","1","6","1421","1","1","1","268","1","1","1","265","1","0","0","0","1","1","4","142","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"65","24.00","943.00","1996","1","1","1","1","0","0","0","1","0","0","0","1","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"66","24.00","942.00","1996","1","1","1","1","0","0","0","1","1","0","0","1","0","0","1","1","2","480","1","0","0","0","1","1","1","279","1","1","1","322","1","1","1","217","1","1","1","286","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"67","24.00","941.00","1996","1","1","1","1","0","0","0","1","0","0","0","1","0","0","1","0","0","0","1","0","0","0","1","1","4","662","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"68","24.00","940.00","1996","1","1","1","1","0","0","0","1","1","1","95","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"69","24.00","939.00","1996","1","1","1","1","0","0","0","1","0","0","0","1","0","0","1","1","1","94","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"70","24.00","938.00","1996","1","1","1","1","0","0","0","1","1","1","220","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"71","24.00","937.00","1996","1","1","1","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"72","24.00","936.00","1996","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"73","17.00","935.00","1996","1","1","1","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"74","23.00","935.00","1996","1","1","1","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"75","24.00","935.00","1996","1","1","1","1","0","0","0","1","0","0","0","1","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","1","1","1","177","1","0","0","0","1","1","2","264","1","1","2","156","1","0","0","0","1","1","4","443","1","0","0","0","1","1","3","537","1","0","0","1","0","0","1","1","1","1","0","0","1","0","0"
"76","28.00","959.00","1996","1","1","1","1","0","0","0","1","0","0","0","1","0","0","1","0","0","0","1","1","1","21","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"77","28.00","958.00","1996","1","1","1","1","0","0","0","1","1","1","195","1","0","0","1","1","2","282","1","0","0","0","1","1","2","279","1","0","0","0","1","1","3","294","1","1","2","321","1","0","0","0","1","1","4","581","1","0","0","0","1","1","2","220","1","1","0","0","1","1","1","220","1","0","0","1","1","2","1","0","0","1","0","0","1","0","0"
